source,chunks,max_tokens,note
Documents\ML-Notes\00-Roadmap\12-month-roadmap.md,131,319,ok
Documents\ML-Notes\00-Roadmap\progress-tracker.md,9,310,ok
Documents\ML-Notes\00-Roadmap\skill-maturity-framework.md,17,317,ok
Documents\ML-Notes\Phase-1-Mathematical-Foundations\Month-01-Linear-Algebra\01-learning-guide.md,27,273,ok
Documents\ML-Notes\Phase-1-Mathematical-Foundations\Month-01-Linear-Algebra\02-introduction-to-linear-algebra.md,24,338,ok
Documents\ML-Notes\Phase-1-Mathematical-Foundations\Month-01-Linear-Algebra\03-vector-operations.md,33,408,ok
Documents\ML-Notes\Phase-1-Mathematical-Foundations\Month-01-Linear-Algebra\04-element-wise-and-scalar-multiplication.md,16,364,ok
Documents\ML-Notes\Phase-1-Mathematical-Foundations\Month-01-Linear-Algebra\05-matrices-and-matrix-operations.md,21,395,ok
Documents\ML-Notes\Phase-1-Mathematical-Foundations\Month-01-Linear-Algebra\06-functions-and-transformations.md,15,359,ok
Documents\ML-Notes\Phase-1-Mathematical-Foundations\Month-01-Linear-Algebra\07-vector-magnitude-and-projections.md,11,434,ok
Documents\ML-Notes\Phase-1-Mathematical-Foundations\Month-01-Linear-Algebra\08-inverse-functions-and-matrices.md,12,312,ok
Documents\ML-Notes\Phase-1-Mathematical-Foundations\Month-01-Linear-Algebra\09-eigenvalues-and-eigenvectors.md,9,392,ok
Documents\ML-Notes\Phase-1-Mathematical-Foundations\Month-01-Linear-Algebra\10-equations-lines-planes-hyperplanes.md,10,406,ok
Documents\ML-Notes\Phase-1-Mathematical-Foundations\Month-02-Probability-and-Statistics\01-learning-guide.md,31,336,ok
Documents\ML-Notes\Phase-1-Mathematical-Foundations\Month-03-Calculus-for-ML\01-learning-guide.md,31,307,ok
Documents\ML-Notes\Phase-1-Mathematical-Foundations\README.md,11,252,ok
Documents\ML-Notes\Phase-2-Classical-ML\00-Key-Terms\01-key-terms-and-definitions.md,28,266,ok
Documents\ML-Notes\Phase-2-Classical-ML\00-Key-Terms\02-ai-world-terms-in-order.docx,17,258,ok
Documents\ML-Notes\Phase-2-Classical-ML\00-Key-Terms\02-ai-world-terms-in-order.md,48,227,ok
Documents\ML-Notes\Phase-2-Classical-ML\01-Supervised-Learning\01-what-is-supervised-learning.md,28,287,ok
Documents\ML-Notes\Phase-2-Classical-ML\02-Evaluation-Metrics\01-classification-metrics.md,44,247,ok
Documents\ML-Notes\Phase-2-Classical-ML\02-Evaluation-Metrics\02-confusion-matrix.md,48,348,ok
Documents\ML-Notes\Phase-2-Classical-ML\02-Evaluation-Metrics\03-regression-metrics.md,32,308,ok
Documents\ML-Notes\Phase-2-Classical-ML\03-ML-with-Python\01-scikit-learn-overview.md,37,249,ok
Documents\ML-Notes\Phase-2-Classical-ML\README.md,14,301,ok
Documents\ML-Notes\Phase-3-Deep-Learning\README.md,7,308,ok
Documents\ML-Notes\Phase-4-Transformers-and-LLMs\README.md,8,259,ok
Documents\ML-Notes\Phase-5-RAG-and-Agents\02-RAG-Architecture\00-rag-introduction-business-impact-and-core-components.md,32,158,ok
Documents\ML-Notes\Phase-5-RAG-and-Agents\02-RAG-Architecture\01-rag-core-components-query-processing-and-generation.md,25,162,ok
Documents\ML-Notes\Phase-5-RAG-and-Agents\03-LangChain-and-Orchestration\00-rag-handson-environment-setup-guide.md,5,76,ok
Documents\ML-Notes\Phase-5-RAG-and-Agents\README.md,12,271,ok
Documents\ML-Notes\Phase-6-MLOps-and-AI-Architecture\README.md,14,264,ok
Documents\ML-Notes\README.md,17,369,ok
